words,attribution,abs_attribution
add,-0.047125330417732036,0.047125330417732036
bit,-0.011614872136242764,0.011614872136242764
depth,-0.02166030996352268,0.02166030996352268
valley,-0.02466625150846652,0.02466625150846652
end,0.002371400689316112,0.002371400689316112
fact,-0.006876367165286669,0.006876367165286669
made,0.005869807148877357,0.005869807148877357
fight,0.0034993225422291123,0.0034993225422291123
mention,-0.027743180590150344,0.027743180590150344
ka,0.016270330374658012,0.016270330374658012
##kas,-0.01128015025394103,0.01128015025394103
##hi,0.010777105506303631,0.010777105506303631
pak,-0.00014807044739213092,0.00014807044739213092
##ku,0.001647247441754797,0.001647247441754797
##n,-0.0036873012055030144,0.0036873012055030144
pick,0.0009119085466058742,0.0009119085466058742
na,-0.006074887531026554,0.006074887531026554
##rut,-0.009510370695556282,0.009510370695556282
##o,0.002692703271044846,0.002692703271044846
mad,0.012969778513010228,0.012969778513010228
##ara,-0.012822029766169146,0.012822029766169146
so,0.0062932439206980825,0.0062932439206980825
##rri,-0.013694864171210819,0.013694864171210819
re,-0.0024954390178943543,0.0024954390178943543
##mo,0.0006878992784830009,0.0006878992784830009
##v,-0.0007980559846410577,0.0007980559846410577
to,-0.0034435173623147174,0.0034435173623147174
##bi,0.001099645003998835,0.001099645003998835
##mada,-0.002788581751212841,0.002788581751212841
##ra,-0.005703335828717578,0.005703335828717578
bit,-0.011614872136242764,0.011614872136242764
total,-0.0378833385919151,0.0378833385919151
mean,-0.05454184958076491,0.05454184958076491
think,-0.12539430158882875,0.12539430158882875
pic,-0.026411411827633742,0.026411411827633742
manga,-0.020869793524784443,0.020869793524784443
great,-0.062033354225943395,0.062033354225943395
scan,0.0065608109116207895,0.0065608109116207895
good,-0.02876740551084694,0.02876740551084694
ill,-0.024133711564369054,0.024133711564369054
##ust,0.004534747042859103,0.004534747042859103
##r,-0.04387811929393681,0.04387811929393681
pu,0.0051888844573277125,0.0051888844573277125
##rp,-0.0031526744131809923,0.0031526744131809923
##os,0.017398424952475088,0.017398424952475088
time,-0.006272855261012094,0.006272855261012094
see,-0.00016537487719001028,0.00016537487719001028
e,-0.00012552156306712607,0.00012552156306712607
##qua,-9.653782788635053e-05,9.653782788635053e-05
##t,-6.967838887237082e-05,6.967838887237082e-05
chang,-4.884668752399825e-05,4.884668752399825e-05
made,-5.169661724911056e-05,5.169661724911056e-05
now,2.028800102307119e-06,2.028800102307119e-06
##her,-2.932043085052261e-07,2.932043085052261e-07
find,3.3630719239853346e-05,3.3630719239853346e-05
def,0.00012267922982366059,0.00012267922982366059
##ini,-4.595310200162721e-06,4.595310200162721e-06
##t,-6.967838887237082e-05,6.967838887237082e-05
winston,-0.04118548816997612,0.04118548816997612
church,0.09038512715560994,0.09038512715560994
##il,0.14424514663345553,0.14424514663345553
auto,-0.2013529585846425,0.2013529585846425
##bio,-0.26189218678253967,0.26189218678253967
##graph,-0.11341645463309581,0.11341645463309581
##i,-0.04708078454307872,0.04708078454307872
barry,-0.011308560114999401,0.011308560114999401
##mo,-0.004437440767033047,0.004437440767033047
##r,0.010332514663568809,0.010332514663568809
make,0.04435038605168169,0.04435038605168169
mention,-0.10419501411651742,0.10419501411651742
mar,0.02712105687962904,0.02712105687962904
##ria,-0.012207025591654142,0.012207025591654142
##g,0.02173604176312196,0.02173604176312196
prop,-0.033122122170708555,0.033122122170708555
##os,-0.016422378839073833,0.016422378839073833
church,0.09038512715560994,0.09038512715560994
##il,0.14424514663345553,0.14424514663345553
write,0.022565652196906247,0.022565652196906247
mani,0.005967850215573662,0.005967850215573662
time,0.0026304462640083853,0.0026304462640083853
close,0.023432185659941533,0.023432185659941533
friendship,0.010217525438505055,0.010217525438505055
see,-0.060904273948636296,0.060904273948636296
forth,-0.013267421958012147,0.013267421958012147
##com,0.028418083946718915,0.028418083946718915
person,0.014391113621852658,0.014391113621852658
life,-0.042616557215593,0.042616557215593
yet,-0.016907021560850395,0.016907021560850395
ign,0.017682902815951057,0.017682902815951057
##or,0.03693971181123432,0.03693971181123432
soc,0.016447796487223297,0.016447796487223297
##al,0.03795671275479246,0.03795671275479246
mar,0.02712105687962904,0.02712105687962904
##ria,-0.012207025591654142,0.012207025591654142
##g,0.02173604176312196,0.02173604176312196
prop,-0.033122122170708555,0.033122122170708555
##os,-0.016422378839073833,0.016422378839073833
feel,0.0038583801549017895,0.0038583801549017895
best,-0.041856297169342575,0.041856297169342575
re,0.06674165833752733,0.06674165833752733
##mo,-0.004437440767033047,0.004437440767033047
##v,-0.013997184502020785,0.013997184502020785
item,-0.056831281629603686,0.056831281629603686
wi,0.002015644791153566,0.002015644791153566
##ki,-0.01593289811241719,0.01593289811241719
instead,-0.04398260032526972,0.04398260032526972
mention,-0.10419501411651742,0.10419501411651742
friendship,0.010217525438505055,0.010217525438505055
unless,-0.012720371657358705,0.012720371657358705
cr,0.010222741290535006,0.010222741290535006
##ed,0.025200289380283947,0.025200289380283947
##ia,0.03119669215612124,0.03119669215612124
##bl,0.001086466042719315,0.001086466042719315
sour,-0.0033328092095530224,0.0033328092095530224
##c,0.008973334975779446,0.008973334975779446
prop,-0.033122122170708555,0.033122122170708555
##os,-0.016422378839073833,0.016422378839073833
quo,-0.018569431985677662,0.018569431985677662
##t,0.014138816917227405,0.014138816917227405
sat,-0.0021016000152507468,0.0021016000152507468
##is,0.03714997336216762,0.03714997336216762
##fa,-0.0023156802920543877,0.0023156802920543877
thank,-0.03529807278885398,0.03529807278885398
##you,0.05721053676256473,0.05721053676256473
first,-0.0399690987686035,0.0399690987686035
person,-0.07120860855619639,0.07120860855619639
actual,-0.09304595776028825,0.09304595776028825
treat,-0.04610065396014234,0.04610065396014234
civil,-0.047204799957227095,0.047204799957227095
manner,0.001748967739765508,0.001748967739765508
matter,0.007957703512105724,0.007957703512105724
problem,0.015146002233710232,0.015146002233710232
civil,-0.047204799957227095,0.047204799957227095
long,0.01836661857296555,0.01836661857296555
treat,-0.04610065396014234,0.04610065396014234
way,0.022018085153519048,0.022018085153519048
return,0.0046208252966264685,0.0046208252966264685
howe,0.015026523055321057,0.015026523055321057
##v,-0.026348490102732058,0.026348490102732058
correct,-0.007411329226869086,0.007411329226869086
let,0.0015846270011078572,0.0015846270011078572
fr,-0.039206145940364964,0.039206145940364964
##ust,0.0392642878512561,0.0392642878512561
##rat,-0.028013301525148856,0.028013301525148856
get,0.019005584573737307,0.019005584573737307
better,-0.007368609157396526,0.007368609157396526
pro,-0.007102341185342432,0.007102341185342432
##ba,-0.006273935297575405,0.006273935297575405
##bl,0.01941063717723814,0.01941063717723814
respond,0.016851194148257143,0.016851194148257143
way,0.022018085153519048,0.022018085153519048
rf,-0.010908242552183716,0.010908242552183716
##a,-0.0013276172535923835,0.0013276172535923835
current,-0.022247001444495432,0.022247001444495432
count,-0.10720977390706359,0.10720977390706359
equal,0.002933482526454054,0.002933482526454054
given,-0.11760279363198622,0.11760279363198622
re,-0.015343618283173694,0.015343618283173694
##qui,-0.003632125805960636,0.003632125805960636
##r,0.011637402971645878,0.011637402971645878
con,0.0010352015765379577,0.0010352015765379577
##sen,-0.0008900908570761012,0.0008900908570761012
##su,-0.0005315868114065253,0.0005315868114065253
say,0.014216085680991265,0.014216085680991265
whether,-0.01778877456727435,0.01778877456727435
promo,-0.0009953481116605823,0.0009953481116605823
##t,-0.0004308351658995378,0.0004308351658995378
depend,0.010759377023122208,0.010759377023122208
close,0.02145926549598328,0.02145926549598328
ad,0.012490848121434467,0.012490848121434467
##min,-0.001108942680171349,0.001108942680171349
al,0.0018607537061142744,0.0018607537061142744
##rea,0.0010929370471804488,0.0010929370471804488
##di,-0.007701203145045265,0.007701203145045265
state,-0.00018561984083817265,0.00018561984083817265
would,-0.004583751270528983,0.004583751270528983
con,0.0010352015765379577,0.0010352015765379577
##si,-0.0023599830444621514,0.0023599830444621514
##d,-0.014751235814027298,0.014751235814027298
con,0.0010352015765379577,0.0010352015765379577
##sen,-0.0008900908570761012,0.0008900908570761012
