propn,propn_attribution
ii,0.0
hollywood,0.0
jakew,0.0
robert,3.2112578411747284e-06
wikipedia.org,0.0
cuba,0.0
bureau,0.0
propaganda,0.0
nov,0.0
new,0.0006842165933559125
england,9.786069614801783e-06
anthony,0.0
ashley,0.0
cooper,0.0
earl,0.0
shaftesbury,0.0
circus,0.0
centre,0.0
london,1.919868344262402e-05
stone,5.256645291051268e-06
eros,0.0
eros,0.0
east,0.006204618982651857
west.day,0.0
london,1.919868344262402e-05
knowws,0.0
eros,0.0
taxi,0.0
earl,0.0
shaftesbury,0.0
australia,2.1165586711770882e-06
henry,0.0
wells,0.0
square,0.0
houshold,0.0
rubbish,0.0
pov,0.0
cctv,0.0
uk,6.06322562592006e-06
prime,3.398939841934055e-06
minister,1.226220985870468e-05
blair,0.0
britain,8.138579050980016e-06
united,4.6216137404750654e-06
states,4.478544572006495e-06
us,4.276451176353923e-06
president,0.0
bush,9.434828039549332e-07
twos,0.0
labour,4.389666542936231e-06
may,0.0003758115345175181
gaza,0.0
strip,0.004210542388719656
us,4.276451176353923e-06
october,3.2777403252241584e-06
baghdad,0.0
prime,3.398939841934055e-06
president,0.0
bushs,0.0
george,9.798565200359129e-06
w.,0.0
bush,9.434828039549332e-07
tony,0.0
blair,0.0
uk,6.06322562592006e-06
november,4.2181156065637195e-06
prime,3.398939841934055e-06
washington,8.735020960877797e-06
twos,0.0
blair,0.0
chirac,0.0
labour,4.389666542936231e-06
party,7.589670788532902e-06
blair,0.0
uk,6.06322562592006e-06
gaza,0.0
israel,8.581002518190034e-06
harold,0.0
wilson,2.3767007483063266e-05
israel,8.581002518190034e-06
israeli,0.0
labour,4.389666542936231e-06
party,7.589670788532902e-06
british,6.0620847437428e-06
sister,0.005561814305974381
party,7.589670788532902e-06
uk,6.06322562592006e-06
us,4.276451176353923e-06
blair,0.0
us,4.276451176353923e-06
u.s,0.0
.,0.0021220543317550284
christians,3.2283975362369522e-06
mary,1.6795400715630508e-07
jesus,0.017054150315581218
jesus,0.017054150315581218
mary,1.6795400715630508e-07
mel,4.309761143484486e-06
gibson,0.0
christ,0.0
mary,1.6795400715630508e-07
christians,3.2283975362369522e-06
rf,0.0
c,0.007733888365914011
slrubenstein,0.0
made===,0.0
united,4.6216137404750654e-06
states,4.478544572006495e-06
united,4.6216137404750654e-06
states,4.478544572006495e-06
palestine,1.356017369939769e-05
liberation,6.688931026319543e-06
organization,3.6646781249586843e-06
israel,8.581002518190034e-06
galilee,0.0
israel,8.581002518190034e-06
galilee,0.0
lebanon,0.0
palestine,1.356017369939769e-05
liberation,6.688931026319543e-06
organization,3.6646781249586843e-06
sharon,0.0
plo,0.0
lebanon,0.0
israelis,0.0
june,2.948834398783485e-06
abu,8.129955668939381e-05
nidal,0.0
organization,3.6646781249586843e-06
plo,0.0
london,1.919868344262402e-05
israel,8.581002518190034e-06
us,4.276451176353923e-06
un,0.002290579594685716
u.n,0.0
.,0.0021220543317550284
security,0.0
council,2.6285542045254395e-06
june,2.948834398783485e-06
president,0.0
reagan,2.567938147934065e-05
france,5.653260180573826e-06
g-7,0.0
versailles,0.0
israel,8.581002518190034e-06
united,4.6216137404750654e-06
states,4.478544572006495e-06
u.n,0.0
.,0.0021220543317550284
security,0.0
council,2.6285542045254395e-06
israel,8.581002518190034e-06
lebanon,0.0
september,5.0342271021095255e-05
ariel,1.422061093029896e-05
sharon,0.0
beirut,0.0
idf,0.0
idf,0.0
sabra,0.0
shatila,0.0
september,5.0342271021095255e-05
kahan,0.0
commission,2.9940255171856626e-06
michael,4.5864590968975315e-07
gerti,0.0
thursday,0.0
shatila,0.0
shatila,0.0
thursday,0.0
haaretz,0.0
september,5.0342271021095255e-05
dec,1.572279812299263e-06
new,0.0006842165933559125
york,1.2647256651923788e-05
new,0.0006842165933559125
york,1.2647256651923788e-05
new,0.0006842165933559125
york,1.2647256651923788e-05
ja,1.3830766082707562e-06
rule,6.629535983038869e-06
ft,0.0
.,0.0021220543317550284
fat,4.817511429639097e-06
joe,2.2589705007658745e-06
jadakiss,0.0
new,0.0006842165933559125
york,1.2647256651923788e-05
jesus,0.017054150315581218
e,0.0007813059561409697
equor,0.0
jesus,0.017054150315581218
koans,0.0
white,2.2656801025406673e-06
africa,3.7329896727364404e-06
australia,2.1165586711770882e-06
cavelli,0.0
sforzas,0.0
o.k,0.0
.,0.0021220543317550284
americas,5.825506799334615e-07
white,2.2656801025406673e-06
band,4.992796062390398e-06
